date,player_elo,opponent_elo,opening,result,time_control,player_color,mean_player_time_per_move,mean_opponent_time_per_move,moves,time_class,phases,mistakes
2021-12-04 11:59:20,1605,1445,"Sicilian Defense: Alapin Variation, Barmen Defense",0.0,15+10,0,35.42,34.83,26,rapid,"(8, 52, 52)","[(0, 0, 0), (5, 1, 5), (0, 0, 0)]"
2021-12-04 18:04:52,1595,1571,Caro-Kann Defense,0.0,15+10,0,30.08,12.99,39,rapid,"(6, 67, 78)","[(1, 0, 0), (5, 1, 3), (1, 1, 1)]"
2021-12-04 19:23:38,1596,1629,Sicilian Defense: Modern Variations,0.5,10+0,1,6.71,4.04,87,rapid,"(6, 81, 174)","[(0, 0, 0), (6, 2, 5), (3, 2, 6)]"
2021-12-04 19:42:58,1588,1606,"Trompowsky Attack: Classical Defense, Big Center Variation",1.0,10+0,1,11.51,9.93,50,rapid,"(7, 70, 99)","[(0, 0, 0), (9, 2, 3), (0, 0, 0)]"
2021-12-05 10:58:23,1598,1652,Vienna Game,1.0,10+0,0,13.26,14.19,42,rapid,"(5, 83, 83)","[(0, 0, 0), (14, 7, 3), (0, 0, 0)]"
2021-12-05 12:05:39,1589,1569,Queen's Pawn Game: Colle System,1.0,10+0,1,12.43,7.22,43,rapid,"(8, 85, 85)","[(0, 0, 0), (8, 4, 6), (0, 0, 0)]"
2021-12-05 14:24:29,1597,1582,Sicilian Defense,0.0,10+0,1,11.97,12.49,48,rapid,"(8, 96, 96)","[(0, 0, 0), (9, 1, 5), (0, 0, 0)]"
2021-12-05 17:42:47,1606,1649,Alekhine Defense,1.0,10+0,0,0.0,0.0,1,rapid,"(4, 2, 2)","[(0, 0, 0), (0, 0, 0), (0, 0, 0)]"
2021-12-05 17:43:49,1598,1632,Vienna Game,0.0,10+0,0,11.45,8.4,42,rapid,"(5, 84, 84)","[(1, 0, 0), (5, 5, 6), (0, 0, 0)]"
2021-12-05 18:01:31,1605,1547,Vienna Game: Vienna Gambit,1.0,10+0,0,13.35,15.86,23,rapid,"(7, 45, 45)","[(0, 0, 0), (3, 1, 2), (0, 0, 0)]"
